번호,등록번호,자료명,저자,출판사,출판년도,청구기호,등록일,자료상태,소장처
1,MU00000387,점퍼,덕 라이먼 감독,이십세기폭스홈엔터테인먼트,2008,688.2 라68ㅈ,2014-01-15,대출가능,도서관
2,MU00000386,와일드 라이프 스페셜. 3: 백상어,편집부 지음,다우리엔터테인먼트,2003,490 편78ㅇ v.3,2014-01-15,대출가능,도서관
3,MU00000385,와일드 라이프 스페셜. 2: 악어,편집부 지음,다우리엔터테인먼트,2003,490 편78ㅇ v.2,2014-01-15,대출가능,도서관
4,MU00000384,와일드 라이프 스페셜. 1: 혹등고래,편집부 지음,다우리엔터테인먼트,2003,490 편78ㅇ v.1,2014-01-15,대출가능,도서관
5,MU00000383,세계 명화의 비밀. 13: 뭉크-절규,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.13,2014-01-15,대출가능,도서관
6,MU00000382,세계 명화의 비밀. 12: 제임스 휘슬러- 화가의 어머니,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.12,2014-01-15,대출가능,도서관
7,MU00000381,세계 명화의 비밀. 11: 마네-풀밭 위의 점심,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.11,2014-01-15,대출가능,도서관
8,MU00000380,세계 명화의 비밀. 10: 가츠시카 호쿠사이-카나가와의 큰 물결,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.10,2014-01-15,대출가능,도서관
9,MU00000379,세계 명화의 비밀. 9: 들라크루아-민중을 이끄는 자유의 여신,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.9,2014-01-15,대출가능,도서관
10,MU00000378,세계 명화의 비밀. 8: 고야-1808년 5월 3일,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.8,2014-01-15,대출가능,도서관
11,MU00000377,세계 명화의 비밀. 7: 벨라스케스-거울 앞의 비너스,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.7,2014-01-15,대출가능,도서관
12,MU00000376,세계 명화의 비밀. 6: 베르메르-아트 오브 페인팅,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.6,2014-01-15,대출가능,도서관
13,MU00000375,세계 명화의 비밀. 5: 렘브란트-야경,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.5,2014-01-15,대출가능,도서관
14,MU00000374,세계 명화의 비밀. 4: 프란체스카-그리스도와 부활,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.4,2014-01-15,대출가능,도서관
15,MU00000373,세계 명화의 비밀. 3: 레오나르도 다빈치-최후의 만찬,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.3,2014-01-15,대출가능,도서관
16,MU00000372,세계 명화의 비밀. 2: 우첼로-산로마노의 전투,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.2,2014-01-15,대출가능,도서관
17,MU00000371,세계 명화의 비밀. 1: 보티첼리-프리마베라,미라지엔터테인먼트 편,미라지엔터테인먼트,2010,650.4 세14 v.1,2014-01-15,대출가능,도서관
18,MU00000370,디스커버리 화재와 대재앙,Discovery,다우리엔터테이먼트,2013,300 디57ㄷ,2014-01-15,대출가능,도서관
19,MU00000369,디스커버리 화성탐사,Discovery,다우리엔터테이먼트,2013,500 디57ㄷ v.19,2014-01-15,대출가능,도서관
20,MU00000368,디스커버리 폭풍과 대재앙,Discovery,다우리엔터테이먼트,2013,400 디57ㄷ v.18,2014-01-15,대출가능,도서관
21,MU00000367,디스커버리 토네이도,Discovery,다우리엔터테이먼트,2013,400 디57ㄷ,2014-01-15,대출가능,도서관
22,MU00000366,디스커버리 지진의 위험,Discovery,다우리엔터테이먼트,2013,451 디57ㄷ v.16,2014-01-15,대출가능,도서관
23,MU00000365,디스커버리 중국의 삼협댐,Discovery,다우리엔터테이먼트,2013,400 디57ㄷ v.15,2014-01-15,대출가능,도서관
